,actual,p10,p50,p90,reliability,temp_corr,lag24_imputed,lag48_imputed,prev24_completeness,weather_corr_missing
2025-06-12 04:45:00,6446.363333333334,5241.447417015739,5743.4218067801285,6193.006917490924,MEDIUM,29.86916666666667,False,False,0.59375,False
2025-06-12 05:00:00,6364.150000000001,5166.650345250086,5662.439944010413,6104.756654353612,MEDIUM,29.736666666666665,False,False,0.59375,False
2025-06-12 05:15:00,6258.043333333332,5083.347508729911,5585.3103580787,6021.137911722523,MEDIUM,30.181666666666665,False,False,0.59375,False
2025-06-12 05:30:00,6140.240000000001,4980.730600025662,5488.083131335382,5915.289632265913,MEDIUM,30.626666666666665,False,False,0.59375,False
2025-06-12 05:45:00,6019.889999999999,4873.371590911909,5385.745898497393,5803.729506026289,MEDIUM,31.071666666666665,False,False,0.59375,False
2025-06-12 06:00:00,5925.64,4812.509897501076,5330.96406288585,5744.5096609178945,MEDIUM,31.516666666666666,False,False,0.59375,False
2025-06-12 06:15:00,5884.203333333334,4783.761861996681,5302.753155258266,5714.274163949336,MEDIUM,31.862499999999997,False,False,0.59375,False
2025-06-12 06:30:00,5839.676666666666,4762.201914404022,5281.740313071011,5691.884910573652,MEDIUM,32.208333333333336,False,False,0.59375,False
2025-06-12 06:45:00,5796.6033333333335,4702.687154270086,5221.558237556255,5626.226396762915,MEDIUM,32.55416666666667,False,False,0.59375,False
2025-06-12 07:00:00,5761.526666666668,4686.834525837769,5206.089391737381,5609.764375053216,MEDIUM,32.9,False,False,0.59375,False
2025-06-12 07:15:00,5745.133333333334,4689.731839098397,5212.243993057838,5617.132288916457,MEDIUM,33.44583333333333,False,False,0.59375,False
2025-06-12 07:30:00,5751.28,4681.149705934326,5206.492134804875,5611.278951241649,MEDIUM,33.99166666666666,False,False,0.59375,False
2025-06-12 07:45:00,5751.683333333333,4675.781178155197,5203.95192366581,5608.868921165245,MEDIUM,34.5375,False,False,0.59375,False
2025-06-12 08:00:00,5745.43,4686.612195262151,5217.987751234126,5624.633965021569,MEDIUM,35.083333333333336,False,False,0.59375,False
2025-06-12 08:15:00,5799.856666666667,4712.555975430275,5247.918979950579,5657.838421261498,MEDIUM,35.6425,False,False,0.59375,False
2025-06-12 08:30:00,5853.536666666667,4735.763528218466,5275.012052159005,5687.817010186738,MEDIUM,36.20166666666666,False,False,0.59375,False
2025-06-12 08:45:00,5902.889999999999,4770.313158500773,5313.754410508024,5730.540745655718,MEDIUM,36.76083333333334,False,False,0.59375,False
2025-06-12 09:00:00,6023.106666666667,4867.896530257557,5417.282223168836,5844.585489511454,MEDIUM,37.32,False,False,0.59375,False
2025-06-12 09:15:00,6236.889999999999,5044.849389787943,5601.1581809852,6047.064286075425,MEDIUM,37.76416666666666,False,False,0.59375,False
2025-06-12 09:30:00,6463.036666666667,5188.653544155572,5751.032602667898,6211.969816919379,MEDIUM,38.208333333333336,False,False,0.59375,False
2025-06-12 09:45:00,6606.833333333333,5312.48664422523,5880.467016614761,6354.254028519623,MEDIUM,38.6525,False,False,0.59375,False
2025-06-12 10:00:00,6781.59,5421.185756212971,5994.452437837784,6479.421541440223,MEDIUM,39.096666666666664,False,False,0.59375,False
2025-06-12 10:15:00,6920.776666666668,5524.258407762865,6101.534185265304,6596.851344056301,MEDIUM,39.45583333333334,False,False,0.59375,False
2025-06-12 10:30:00,7048.506666666667,5600.806453079249,6181.502999165333,6684.313343945995,MEDIUM,39.815,False,False,0.59375,False
2025-06-12 10:45:00,7159.836666666666,5683.37385174274,6267.817883359102,6778.69492752926,MEDIUM,40.174166666666665,False,False,0.59375,False
2025-06-12 11:00:00,7233.606666666667,5739.38542653974,6327.025546465966,6843.123016623076,MEDIUM,40.53333333333334,False,False,0.59375,False
2025-06-12 11:15:00,7344.329999999999,5674.5307401135915,6260.993062039506,6769.3811335662895,MEDIUM,40.799166666666665,False,False,0.59375,False
2025-06-12 11:30:00,7428.623333333333,5736.9953674141125,6325.998776713707,6840.02665104472,MEDIUM,41.065,False,False,0.59375,False
2025-06-12 11:45:00,7516.296666666666,5797.200607329106,6388.913225207477,6908.3092927572425,MEDIUM,41.33083333333334,False,False,0.59375,False
2025-06-12 12:00:00,7572.163333333333,5978.252570482358,6576.246167929234,7113.692412662172,MEDIUM,41.596666666666664,False,False,0.59375,False
2025-06-12 12:15:00,7693.236666666667,6033.106641446716,6632.922540941336,7174.95534443242,MEDIUM,41.76833333333333,False,False,0.59375,False
2025-06-12 12:30:00,7774.139999999999,6117.916706994922,6720.651674197966,7270.408213705705,MEDIUM,41.94,False,False,0.59375,False
2025-06-12 12:45:00,7873.896666666667,6156.18049695352,6760.837201881338,7313.416170561661,MEDIUM,42.111666666666665,False,False,0.59375,False
2025-06-12 13:00:00,7784.62,6100.762299769512,6705.0564447476,7250.606488903103,MEDIUM,42.28333333333334,False,False,0.59375,False
2025-06-12 13:15:00,7777.303333333333,6146.96315668283,6750.994668775125,7299.484589608931,MEDIUM,42.30916666666667,False,False,0.59375,False
2025-06-12 13:30:00,7895.756666666667,6206.622567512011,6811.073456428232,7363.933779739379,MEDIUM,42.334999999999994,False,False,0.59375,False
2025-06-12 13:45:00,8012.053333333333,6334.36265955304,6941.4250579171985,7505.83778851626,MEDIUM,42.36083333333333,False,False,0.59375,False
2025-06-12 14:00:00,8085.69,6423.771157611318,7032.713326891244,7604.676249827733,MEDIUM,42.38666666666666,False,False,0.59375,False
2025-06-12 14:15:00,8208.163333333334,6598.4842371393115,7210.834748442026,7799.509763257439,MEDIUM,42.424166666666665,False,True,0.6041666666666666,False
2025-06-12 14:30:00,8267.356666666667,6685.667948869768,7303.084704169019,7899.164993208702,MEDIUM,42.461666666666666,False,True,0.6145833333333334,False
2025-06-12 14:45:00,8299.096666666666,6746.039038971322,7368.018008694985,7968.736360104041,MEDIUM,42.49916666666667,False,True,0.625,False
2025-06-12 15:00:00,8356.636666666667,6830.66635109887,7459.797976615512,8067.699125712293,MEDIUM,42.53666666666667,False,True,0.6354166666666666,False
2025-06-12 15:15:00,8358.97,6881.212137160227,7512.51856545295,8123.882019956681,MEDIUM,42.440000000000005,False,True,0.6458333333333334,False
2025-06-12 15:30:00,8315.339999999998,6903.585647927756,7535.3137930527555,8147.293799880746,MEDIUM,42.34333333333334,False,True,0.65625,False
2025-06-12 15:45:00,8292.849999999999,6883.99697784626,7513.676594849113,8121.995431120915,MEDIUM,42.24666666666666,False,True,0.6666666666666666,False
2025-06-12 16:00:00,8202.986666666666,6864.929756201954,7492.889958208191,8097.679917987479,MEDIUM,42.15,False,True,0.6770833333333334,False
2025-06-12 16:15:00,8005.256666666667,6801.076114342792,7424.31775054976,8020.665280008236,MEDIUM,41.905833333333334,False,True,0.6875,False
2025-06-12 16:30:00,7930.579999999999,6800.391683788023,7420.952358359297,8015.587537843496,MEDIUM,41.66166666666667,False,True,0.6979166666666666,False
2025-06-12 16:45:00,7837.346666666667,6733.637141059748,7349.987104327256,7936.052310499975,MEDIUM,41.4175,False,True,0.7083333333333334,False
2025-06-12 17:00:00,7738.126666666667,6657.49879338721,7269.657492239978,7846.260364355028,MEDIUM,41.17333333333333,False,True,0.71875,False
2025-06-12 17:15:00,7643.633333333334,6548.026721043804,7157.415820155126,7721.434274453617,MEDIUM,40.79750000000001,False,True,0.7291666666666666,False
2025-06-12 17:30:00,7493.349999999999,6421.5748698931775,7027.978913626605,7577.727908374496,MEDIUM,40.42166666666667,False,True,0.7395833333333334,False
