timestamp,actual,p10,p50,p90,reliability,temp_corr,p10_base,p90_base,stress_day
2025-05-11 09:30:00,4001.52,3915.599093772796,4256.347807620785,4625.403347898828,HIGH,31.985,3915.5990937727966,4625.403347898828,
2025-05-11 09:45:00,4066.5033333333336,3992.4275839197653,4335.471035517907,4711.171483704053,HIGH,32.2925,3992.4275839197653,4711.171483704053,
2025-05-11 10:00:00,4149.403333333333,4105.795421663202,4452.093083736495,4837.70063087241,HIGH,32.6,4105.795421663203,4837.70063087241,
2025-05-11 10:15:00,4228.126666666667,4209.509590410228,4558.21813798653,4952.700508332575,HIGH,32.983333333333334,4209.509590410228,4952.700508332574,
2025-05-11 10:30:00,4296.096666666666,4282.587437117707,4633.09904696998,5033.606066573192,HIGH,33.36666666666667,4282.587437117708,5033.606066573192,
2025-05-11 10:45:00,4359.956666666667,4336.39131313235,4688.385824404007,5093.107515367132,HIGH,33.75,4336.391313132351,5093.107515367132,
2025-05-11 11:00:00,4404.426666666667,4425.3437565829645,4779.815059455934,5191.905640480559,HIGH,34.13333333333333,4425.3437565829645,5191.905640480559,
2025-05-11 11:15:00,4422.723333333333,4481.76299966591,4837.387437304193,5253.74950086837,HIGH,34.45333333333333,4481.76299966591,5253.749500868369,
2025-05-11 11:30:00,4472.003333333333,4493.555171305522,4849.454064121233,5265.983150654245,HIGH,34.77333333333333,4493.555171305523,5265.983150654244,
2025-05-11 11:45:00,4513.313333333333,4530.584490395384,4887.55930052415,5306.522794569297,HIGH,35.093333333333334,4530.584490395384,5306.522794569297,
2025-05-11 12:00:00,4547.143333333333,4559.5801473833435,4917.651852110728,5338.291153927246,HIGH,35.413333333333334,4559.5801473833435,5338.291153927246,
2025-05-11 12:15:00,4600.96,4558.137218627541,4910.335872208923,5329.05089048358,HIGH,35.61416666666667,4558.137218627541,5329.05089048358,
2025-05-11 12:30:00,4601.11,4543.1404729582555,4889.378663080389,5304.919600505242,HIGH,35.815000000000005,4543.140472958256,5304.919600505242,
2025-05-11 12:45:00,4602.400000000001,4505.4395457874925,4845.421765869602,5255.711031997831,HIGH,36.01583333333333,4505.439545787493,5255.71103199783,
2025-05-11 13:00:00,4496.826666666667,4431.989435907468,4765.118144596278,5166.895502449638,HIGH,36.21666666666667,4431.989435907468,5166.895502449638,
2025-05-11 13:15:00,4528.0199999999995,4465.106720152982,4771.905618195495,5172.109829558076,HIGH,36.21,4465.106720152982,5172.109829558076,
2025-05-11 13:30:00,4584.77,4610.19926226267,4893.608904869198,5302.45293053605,HIGH,36.20333333333333,4610.19926226267,5302.45293053605,
2025-05-11 13:45:00,4648.599999999999,4797.202451623256,5058.498065912207,5479.81638228786,HIGH,36.196666666666665,4797.202451623256,5479.81638228786,
2025-05-11 14:00:00,4763.496666666667,4951.245978021548,5189.921666600794,5620.732290055865,HIGH,36.19,4951.245978021549,5620.732290055865,
2025-05-11 14:15:00,4842.576666666667,5020.078618975005,5271.041475810316,5708.172919098422,HIGH,36.19166666666666,5020.078618975005,5708.1729190984215,
2025-05-11 14:30:00,4919.506666666667,4959.86994817577,5220.327980429269,5652.054603009212,HIGH,36.19333333333333,4959.86994817577,5652.054603009212,
2025-05-11 14:45:00,4963.223333333334,4932.280296152577,5203.298008873716,5632.630727309853,HIGH,36.195,4932.280296152578,5632.630727309853,
2025-05-11 15:00:00,5006.533333333334,4838.1974043184755,5118.475143093602,5539.39890164532,HIGH,36.196666666666665,4838.1974043184755,5539.39890164532,
2025-05-11 15:15:00,5032.18,4785.3152756176705,5067.330350075825,5482.583036987935,HIGH,36.13166666666667,4785.3152756176705,5482.583036987935,
2025-05-11 15:30:00,5060.400000000001,4726.715972298895,5007.718687556122,5416.985269848862,HIGH,36.06666666666667,4726.715972298895,5416.985269848862,
