date,peak_time,p10_mw,p50_mw,p90_mw,actual_peak_mw,actual_util,util50,util90,reliability,c_p50,c_p90,c_growth,c_heat,c_rel,growth_pct,temp_corr,stress_score,stress_level
2025-05-12,23:30,5181.2,5547.2,5922.6,5795.7,0.643962962962963,0.6163529633253585,0.658066452251373,HIGH,0.0,0.0,0.6548402137062007,0.2169444444444443,0.0,5.238721709649606,32.60333333333333,8.7,NORMAL
2025-05-13,23:15,5512.3,5918.7,6319.3,6333.5,0.7037181481481481,0.6576303956907686,0.7021495183768681,HIGH,0.0,0.007165061256227214,0.8371305652265676,0.140625,0.0,6.697044521812541,31.6875,9.9,NORMAL
2025-05-14,15:15,5970.7,6424.3,6872.6,6126.1,0.6806788888888889,0.7138086242224633,0.763622134978199,HIGH,0.04602874740821105,0.21207378326066337,1.0,0.8554861111111111,0.0,8.542523110216878,40.26583333333333,25.3,NORMAL
2025-05-15,15:15,5943.9,6398.3,6845.5,6407.6,0.7119592592592593,0.7109215975797032,0.760616479966006,HIGH,0.03640532526567745,0.20205493322002016,0.0,0.8927777777777776,0.0,-0.40445387528132243,40.71333333333333,15.0,NORMAL
2025-05-16,15:30,5960.0,6420.7,6866.1,6823.5,0.758162962962963,0.7134109319684118,0.7629043800536625,HIGH,0.04470310656137269,0.20968126684554164,0.04376949577111287,0.9022222222222217,0.0,0.35015596616890293,40.82666666666666,16.1,NORMAL
2025-05-17,15:15,6150.3,6596.4,7130.7,6182.3,0.6869177777777777,0.7329388574133952,0.792299446265785,HIGH,0.10979619137798396,0.30766482088595,0.3421577342371029,0.9925694444444441,0.0,2.737261873896823,41.91083333333333,25.5,NORMAL
2025-05-18,14:45,5696.5,6126.3,6620.9,6816.4,0.7573792592592592,0.6807049082580625,0.7356513185220036,HIGH,0.0,0.11883772840667882,0.0,0.997083333333333,0.0,-7.126644825418415,41.964999999999996,12.3,NORMAL
2025-05-19,23:15,6362.4,6820.7,7288.4,7229.4,0.8032629629629628,0.7578559287790124,0.8098209275500796,HIGH,0.19285309593004152,0.36606975850026546,1.0,0.11937500000000008,0.0,11.33398916108609,31.4325,29.1,NORMAL
2025-05-20,23:15,6582.2,7070.7,7558.1,7507.3,0.8341407407407407,0.785632635468271,0.8397899496851249,HIGH,0.2854421182275701,0.46596649895041636,0.4581462259919551,0.22104166666666694,0.0,3.6651698079356407,32.6525,31.8,NORMAL
2025-05-21,23:00,6784.3,7285.3,7787.5,7700.3,0.8555848148148149,0.8094761261192862,0.8652761215827416,HIGH,0.3649204203976208,0.5509204052758053,0.3793676836757734,0.15861111111111104,0.0,3.034941469406187,31.903333333333332,36.5,NORMAL
2025-05-22,15:30,6842.3,7386.1,7905.6,6254.8,0.6949785185185184,0.8206809149646566,0.8784004123830025,HIGH,0.4022697165488553,0.594668041276675,0.17302531359212558,0.7411111111111115,0.0,1.3842025087370047,38.89333333333334,43.2,NORMAL
2025-05-23,15:30,6204.7,6670.1,7126.9,6592.0,0.7324425925925926,0.7411192541736259,0.7918824867525883,HIGH,0.1370641805787531,0.3062749558419612,0.0,0.7597222222222223,0.0,-9.694591325357809,39.11666666666667,21.3,NORMAL
2025-05-24,23:30,5838.0,6268.5,6776.2,6804.9,0.7561003703703703,0.6965027120026824,0.7529161326989181,HIGH,0.0,0.17638710899639382,0.0,0.01999999999999987,0.0,-6.020156934215999,30.24,3.7,NORMAL
2025-05-25,23:30,6140.5,6599.9,7137.1,6745.2,0.749465925925926,0.7333256238208282,0.7930153120031176,HIGH,0.1110854127360942,0.3100510400103921,0.6608537049386957,0.08152777777777793,0.0,5.286829639509565,30.978333333333335,19.7,NORMAL
