,gross_p50,gross_p10,gross_p90,p50,p10,p90,solar_mw
2025-06-12 05:00:00,5759.449884955795,5261.06152479163,6211.69559388081,5759.449884955795,5261.06152479163,6211.69559388081,0.0
2025-06-12 05:15:00,5682.808817963302,5178.234120467689,6128.615370259114,5682.808817963302,5178.234120467689,6128.615370259114,0.0
2025-06-12 05:30:00,5586.070110159204,5076.092643959673,6023.305609811895,5586.070110159204,5076.092643959673,6023.305609811895,0.0
2025-06-12 05:45:00,5484.221396260435,4969.209067042153,5912.284002581664,5484.221396260435,4969.209067042153,5912.284002581664,0.0
2025-06-12 06:00:00,5429.928079588111,4908.822805827554,5853.602676482662,5429.928079588111,4908.822805827554,5853.602676482662,0.0
2025-06-12 06:15:00,5402.096826192317,4880.444254146072,5823.78569147833,5402.096826192317,4880.444254146072,5823.78569147833,0.0
2025-06-12 06:30:00,5381.4636382368535,4859.25379037633,5801.814950066875,5381.4636382368535,4859.25379037633,5801.814950066875,0.0
2025-06-12 06:45:00,5321.6612169538885,4800.108514065309,5736.5749482203655,5321.6612169538885,4800.108514065309,5736.5749482203655,0.0
2025-06-12 07:00:00,5306.572025366806,4784.625369455909,5720.531438474895,5306.572025366806,4784.625369455909,5720.531438474895,0.0
2025-06-12 07:15:00,5313.32583999286,4788.105843931017,5728.559895317821,5313.32583999286,4788.105843931017,5728.559895317821,0.0
2025-06-12 07:30:00,5308.173195045492,4780.106871981426,5723.367100622699,5308.173195045492,4780.106871981426,5723.367100622699,0.0
2025-06-12 07:45:00,5306.232197212026,4775.321505416779,5721.617613525981,5306.232197212026,4775.321505416779,5721.617613525981,0.0
2025-06-12 08:00:00,5320.86723808594,4786.735683738213,5738.04320036199,5320.86723808594,4786.735683738213,5738.04320036199,0.0
2025-06-12 08:15:00,5351.412317379578,4813.276870280257,5771.924334982636,5351.412317379578,4813.276870280257,5771.924334982636,0.0
2025-06-12 08:30:00,5379.031128998927,4836.99607865171,5802.482472916193,5379.031128998927,4836.99607865171,5802.482472916193,0.0
2025-06-12 08:45:00,5417.22132135508,4871.008334700191,5844.597528025773,5417.22132135508,4871.008334700191,5844.597528025773,0.0
2025-06-12 09:00:00,5518.8421678178265,4966.735825231291,5956.540127081213,5518.8421678178265,4966.735825231291,5956.540127081213,0.0
2025-06-12 09:15:00,5700.237848550106,5141.274850851294,6156.284789405736,5700.237848550106,5141.274850851294,6156.284789405736,0.0
2025-06-12 09:30:00,5846.871186538296,5281.924745649136,6317.617510599132,5846.871186538296,5281.924745649136,6317.617510599132,0.0
2025-06-12 09:45:00,5972.944020663429,5402.486317945457,6456.196083604315,5972.944020663429,5402.486317945457,6456.196083604315,0.0
2025-06-12 10:00:00,6083.567862064721,5507.91390215986,6577.657957929854,6083.567862064721,5507.91390215986,6577.657957929854,0.0
2025-06-12 10:15:00,6187.931333876546,5608.341096917432,6692.0912685488,6187.931333876546,5608.341096917432,6692.0912685488,0.0
2025-06-12 10:30:00,6265.18187216088,5682.243685441493,6776.556776441362,6265.18187216088,5682.243685441493,6776.556776441362,0.0
2025-06-12 10:45:00,6348.778480738953,5762.16562731266,6867.941868027493,6348.778480738953,5762.16562731266,6867.941868027493,0.0
2025-06-12 11:00:00,6405.26786823012,5815.531745317337,6929.373465124176,6405.26786823012,5815.531745317337,6929.373465124176,0.0
2025-06-12 11:15:00,6337.223481433808,5748.719052587821,6853.413760844455,6337.223481433808,5748.719052587821,6853.413760844455,0.0
2025-06-12 11:30:00,6400.217293738155,5809.225673584975,6921.8414570999485,6400.217293738155,5809.225673584975,6921.8414570999485,0.0
2025-06-12 11:45:00,6461.119839862072,5867.472907196602,6987.906277589537,6461.119839862072,5867.472907196602,6987.906277589537,0.0
2025-06-12 12:00:00,6646.440880213975,6046.566864046488,7191.071576271531,6646.440880213975,6046.566864046488,7191.071576271531,0.0
2025-06-12 12:15:00,6701.818031006045,6100.156517147228,7250.902310010666,6701.818031006045,6100.156517147228,7250.902310010666,0.0
2025-06-12 12:30:00,6788.247942042644,6183.702164831818,7344.922981252838,6788.247942042644,6183.702164831818,7344.922981252838,0.0
2025-06-12 12:45:00,6827.1342475059855,6220.701536926799,7386.498740077683,6827.1342475059855,6220.701536926799,7386.498740077683,0.0
2025-06-12 13:00:00,6770.054268152217,6164.018921879176,7322.256860388014,6770.054268152217,6164.018921879176,7322.256860388014,0.0
2025-06-12 13:15:00,6815.79697815634,6210.029502317872,7370.919436147411,6815.79697815634,6210.029502317872,7370.919436147411,0.0
2025-06-12 13:30:00,6875.680251786043,6269.4986366724315,7435.15310133143,6875.680251786043,6269.4986366724315,7435.15310133143,0.0
2025-06-12 13:45:00,7005.836339251608,6397.04845223884,7576.841585161881,7005.836339251608,6397.04845223884,7576.841585161881,0.0
2025-06-12 14:00:00,7096.92909420225,6486.266673822494,7675.464521526925,7096.92909420225,6486.266673822494,7675.464521526925,0.0
2025-06-12 14:15:00,7274.766705073897,6660.703545564746,7869.985176163425,7274.766705073897,6660.703545564746,7869.985176163425,0.0
2025-06-12 14:30:00,7366.732850121759,6747.611049509462,7969.327547321486,7366.732850121759,6747.611049509462,7969.327547321486,0.0
2025-06-12 14:45:00,7431.382343968593,6807.705931825275,8038.586055423621,7431.382343968593,6807.705931825275,8038.586055423621,0.0
2025-06-12 15:00:00,7522.878501209986,6892.05703616708,8137.2359622386675,7522.878501209986,6892.05703616708,8137.2359622386675,0.0
2025-06-12 15:15:00,7576.330690909189,6943.314824520571,8194.22533692776,7576.330690909189,6943.314824520571,8194.22533692776,0.0
2025-06-12 15:30:00,7599.857519370759,6966.400337580234,8218.44359729653,7599.857519370759,6966.400337580234,8218.44359729653,0.0
2025-06-12 15:45:00,7578.951922028882,6947.523669790871,8193.951708981402,7578.951922028882,6947.523669790871,8193.951708981402,0.0
2025-06-12 16:00:00,7558.896886249726,6929.1684504386985,8170.4426762926705,7558.896886249726,6929.1684504386985,8170.4426762926705,0.0
2025-06-12 16:15:00,7492.172601457647,6867.113228162251,8095.4650966780655,7492.172601457647,6867.113228162251,8095.4650966780655,0.0
2025-06-12 16:30:00,7490.655132133541,6868.227217190201,8092.4244128779665,7490.655132133541,6868.227217190201,8092.4244128779665,0.0
2025-06-12 16:45:00,7421.537800967853,6803.27109404464,8014.9262438990845,7421.537800967853,6803.27109404464,8014.9262438990845,0.0
2025-06-12 17:00:00,7343.056111746931,6728.93116595482,7927.17135611878,7343.056111746931,6728.93116595482,7927.17135611878,0.0
2025-06-12 17:15:00,7233.6588533573895,6622.2273094196225,7805.480806567037,7233.6588533573895,6622.2273094196225,7805.480806567037,0.0
2025-06-12 17:30:00,7107.066360524178,6498.543674077204,7664.909980837582,7107.066360524178,6498.543674077204,7664.909980837582,0.0
2025-06-12 17:45:00,6991.902978292823,6385.7519636298575,7537.016868772149,6991.902978292823,6385.7519636298575,7537.016868772149,0.0
2025-06-12 18:00:00,6871.008491473066,6267.166815483927,7402.888497984537,6871.008491473066,6267.166815483927,7402.888497984537,0.0
2025-06-12 18:15:00,6755.221106789379,6159.4069198744455,7274.255159291594,6755.221106789379,6159.4069198744455,7274.255159291594,0.0
2025-06-12 18:30:00,6665.094649531572,6076.437682498355,7173.9976983347915,6665.094649531572,6076.437682498355,7173.9976983347915,0.0
2025-06-12 18:45:00,6630.931949265516,6047.767879395379,7135.522946362921,6630.931949265516,6047.767879395379,7135.522946362921,0.0
2025-06-12 19:00:00,6583.241930408592,6005.7864285083,7082.22950140276,6583.241930408592,6005.7864285083,7082.22950140276,0.0
2025-06-12 19:15:00,6583.048550572693,6008.286994209262,7081.447638836783,6583.048550572693,6008.286994209262,7081.447638836783,0.0
2025-06-12 19:30:00,6637.489911988798,6063.8506567706,7140.988562826792,6637.489911988798,6063.8506567706,7140.988562826792,0.0
2025-06-12 19:45:00,6695.613669401822,6122.910075230589,7204.6858298535935,6695.613669401822,6122.910075230589,7204.6858298535935,0.0
2025-06-12 20:00:00,6757.869469876395,6185.92328986207,7273.035583529922,6757.869469876395,6185.92328986207,7273.035583529922,0.0
2025-06-12 20:15:00,6866.358354379512,6289.847744306841,7392.594946083211,6866.358354379512,6289.847744306841,7392.594946083211,0.0
2025-06-12 20:30:00,6954.719186277423,6374.15744982079,7490.063367966409,6954.719186277423,6374.15744982079,7490.063367966409,0.0
2025-06-12 20:45:00,7067.870061735049,6482.588248575321,7614.955550092716,7067.870061735049,6482.588248575321,7614.955550092716,0.0
2025-06-12 21:00:00,7140.105134991197,6551.215523181763,7694.839442494753,7140.105134991197,6551.215523181763,7694.839442494753,0.0
2025-06-12 21:15:00,7321.222072403456,6727.0560086824635,7894.798862382059,7321.222072403456,6727.0560086824635,7894.798862382059,0.0
2025-06-12 21:30:00,7407.468092139643,6807.387964185547,7989.800369381082,7407.468092139643,6807.387964185547,7989.800369381082,0.0
2025-06-12 21:45:00,7593.3245769436135,6976.763364591756,8193.542029884964,7593.3245769436135,6976.763364591756,8193.542029884964,0.0
2025-06-12 22:00:00,7692.793045705738,7067.702012501974,8302.942014971984,7692.793045705738,7067.702012501974,8302.942014971984,0.0
2025-06-12 22:15:00,7773.617264591499,7140.160513968486,8392.099644901842,7773.617264591499,7140.160513968486,8392.099644901842,0.0
2025-06-12 22:30:00,7851.905303117398,7210.7095274306685,8478.602274899435,7851.905303117398,7210.7095274306685,8478.602274899435,0.0
2025-06-12 22:45:00,7894.046849880002,7248.271839362467,8525.629360241814,7894.046849880002,7248.271839362467,8525.629360241814,0.0
2025-06-12 23:00:00,7895.729878813484,7248.694231819536,8528.42702322326,7895.729878813484,7248.694231819536,8528.42702322326,0.0
