,actual,p10,p50,p90,reliability,temp_corr,lag24_imputed,lag48_imputed,prev24_completeness,weather_corr_missing
2025-06-11 08:00:00,5053.586666666667,4523.335711496136,4966.798715073583,5296.27827919987,HIGH,33.99,False,False,1.0,False
2025-06-11 08:15:00,5081.026666666667,4539.249854005709,4986.287963770398,5317.697253461199,HIGH,34.467499999999994,False,False,1.0,False
2025-06-11 08:30:00,5103.990000000001,4572.4066578259435,5023.408053650329,5358.231675579201,HIGH,34.945,False,False,1.0,False
2025-06-11 08:45:00,5128.136666666666,4623.945283781309,5079.344045952229,5419.172753057421,HIGH,35.4225,False,False,1.0,False
2025-06-11 09:00:00,5238.08,4698.432002144129,5158.789866503429,5505.633207049294,HIGH,35.9,False,False,1.0,False
2025-06-11 09:15:00,5450.5,4859.49988164983,5325.477437582694,5686.96738843299,HIGH,36.50083333333333,False,False,1.0,False
2025-06-11 09:30:00,5597.1033333333335,5066.442451821695,5539.185469456411,5919.4271591289635,HIGH,37.10166666666666,False,False,1.0,False
2025-06-11 09:45:00,5736.1033333333335,5219.554834856009,5697.849446599389,6091.866312641449,HIGH,37.70249999999999,False,False,1.0,False
2025-06-11 10:00:00,5862.8533333333335,5355.55024819632,5839.076222764897,6245.241134995172,HIGH,38.30333333333333,False,False,1.0,False
2025-06-11 10:15:00,5984.503333333334,5446.706260945379,5933.78109311692,6347.855548590485,HIGH,38.719166666666666,False,False,1.0,False
2025-06-11 10:30:00,6067.9800000000005,5554.81960878129,6045.9705847972755,6469.441283383626,HIGH,39.135,False,False,1.0,False
2025-06-11 10:45:00,6157.833333333333,5658.227517527802,6153.481936238754,6585.866427428891,HIGH,39.55083333333333,False,False,1.0,False
2025-06-11 11:00:00,6221.653333333333,5732.979391527296,6231.809402352914,6670.447842100005,HIGH,39.96666666666666,False,False,1.0,False
2025-06-11 11:15:00,6106.266666666666,5793.124738133692,6294.274864590088,6737.658612442302,HIGH,40.23499999999999,False,False,1.0,False
2025-06-11 11:30:00,6190.623333333333,5830.269451532828,6333.376804923051,6779.372065879738,HIGH,40.50333333333333,False,False,1.0,False
2025-06-11 11:45:00,6268.5,5863.909487770975,6369.090037263133,6817.345156392755,HIGH,40.77166666666667,False,False,1.0,False
